tick,perception_0,perception_1,perception_2,perception_3,perception_4,perception_5,perception_6,perception_7,perception_8,perception_9,perception_10,perception_11,perception_12,perception_13,perception_14,perception_15,perception_16,perception_17,perception_18,perception_19,perception_20,perception_21,perception_22,perception_23,perception_24,perception_25,perception_26,perception_27,perception_28,perception_29,channel
30,-0.20000007633492325,-0.20000000006361943,-0.20000000000001789,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000012,-0.20000000000073956,-0.20000000158643452,-0.20000114753460924,-0.20028139928225613,-0.22360649295054869,-0.8894702353260506,-7.494833917264058,-30.98526647883778,-63.8824458286458,-88.46783391672967,-106.08021464122183,-106.8690971437717,-87.01457101663951,-57.07532192411247,-21.656150791856486,-3.6353571911956526,-0.4044559945187238,-0.20429001838324407,-0.20003100741130983,objects
31,-0.20000922573261584,-0.20000001807108897,-0.20000000001197182,-0.20000000000000268,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000008,-0.20000000000396365,-0.2000000068025419,-0.20000394165450625,-0.20077560803910197,-0.2523542208291907,-1.4372491647933832,-10.932200475278613,-38.44399825489187,-70.62164806675219,-93.51335894203714,-109.49473168301266,-103.27096487866093,-80.38326728390176,-48.31468830671132,-15.523437685722186,-2.197411843904558,-0.29552914400112607,-0.2016017751632937,objects
32,-0.20058251401756766,-0.20000268387482661,-0.20000000419937544,-0.20000000000222024,-0.2000000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000523,-0.20000000002115395,-0.20000002889630655,-0.20001334394526613,-0.20209638054068488,-0.31332974369798566,-2.3591393733297235,-15.534703357009356,-46.46117615465013,-76.8062384489647,-98.64523169878609,-111.020456201885,-97.97231926101759,-73.45049378145488,-39.77786736298776,-10.77271605187929,-1.3235484303855964,-0.24331798758754908,objects
33,-0.21920129151274645,-0.2002080673560802,-0.20000077071795477,-0.2000000009682483,-0.20000000000041068,-0.20000000000000007,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000003457,-0.20000000011101846,-0.2000001202362028,-0.20004407971604413,-0.20550835868967385,-0.43769461796139414,-3.8429626202678753,-21.38978376169796,-54.575781748146426,-82.44942555581287,-103.5777789215632,-109.99974688628649,-91.90370658649516,-66.31450155507143,-31.871695997494104,-7.280000678926817,-0.8151878140767821,objects
34,-0.5302304071880111,-0.20838993034129316,-0.20007370304836056,-0.20000022087598113,-0.2000000002242291,-0.20000000000007678,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000004,-0.20000000000022286,-0.20000000056573922,-0.20000048459425596,-0.20014069628840991,-0.2139528724106644,-0.6797368677322562,-6.111450916714905,-28.414231303921756,-62.284841071387625,-87.73473705885247,-107.5650130085875,-106.5375158561182,-85.81336154650009,-59.039155144239224,-24.922268941237753,-4.828125680822328,objects
35,-3.1706428680506877,-0.3749975282487992,-0.2036426548459284,-0.20002612576183093,-0.20000006380899485,-0.2000000000527352,-0.2000000000000147,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000023,-0.20000000000138318,-0.20000000277095725,-0.2000018748837653,-0.20043057444303125,-0.2338512598781682,-1.1269336861888457,-9.390215744832421,-36.31890303130143,-69.21107119934828,-92.81060576598213,-109.72499943589493,-101.44035234730615,-80.00831088041737,-51.77159905160231,-19.096647292502062,objects
36,-14.413201230637489,-2.0842884591505104,-0.2922379441274821,-0.20158501226333825,-0.20000935674005524,-0.2000000187802471,-0.20000000001274248,-0.20000000000000293,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000176,-0.20000000000816154,-0.20000001290540284,-0.20000689888882076,-0.20125348417041092,-0.2781596567292912,-1.9061991760965575,-13.841527981017293,-44.60648177626656,-75.2009905795701,-97.53931830213214,-109.53909670176641,-95.74553738461502,-74.47914209210177,-44.75419919244412,objects
37,-38.232940704804626,-10.77428477183195,-1.3885987015790342,-0.2487093433619434,-0.2006968687060433,-0.2000034163302541,-0.20000000568674403,-0.20000000000319715,-0.20000000000000062,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000001222,-0.20000000004531784,-0.2000000566470843,-0.2000239607873868,-0.2034497350853252,-0.37091044111799576,-3.1812946901569017,-19.492306247035923,-52.67819725426225,-80.32616945201134,-101.474947533852,-107.15360943190849,-90.2306576288974,-69.12642991495574,objects
38,-63.91505647705455,-32.384869110002306,-8.020197358334402,-0.9500010351972659,-0.22594255874797053,-0.20031182921992105,-0.20000128162425934,-0.20000000178644878,-0.20000000000084042,-0.20000000000000015,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000008,-0.20000000023492495,-0.20000023275699974,-0.2000781080565488,-0.20893539489459462,-0.5527800224058357,-5.134468428157507,-26.177561054690383,-59.98602543594917,-84.74473736874617,-104.10222743172339,-103.23772683545532,-85.24230515361984,objects
39,-80.83728898186705,-58.90758231441637,-27.297886908007314,-5.975584503097295,-0.6758843459813539,-0.21401439545726128,-0.2001428644200989,-0.20000049708118844,-0.20000000058598177,-0.200000000000233,-0.20000000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000007,-0.20000000000048104,-0.20000000112386027,-0.20000088649559894,-0.20023706519281959,-0.2216463759571639,-0.8842918153040742,-7.91568656236396,-33.49713166391017,-66.13805656090265,-88.53965190098006,-105.14798143260143,-98.63015712656964,objects
40,-93.96541032239269,-76.92835993075516,-54.19121943312906,-22.970857090981468,-4.475857654795342,-0.5048891701204514,-0.20771142404530943,-0.20006729786443056,-0.20000020015042683,-0.2000000002015135,-0.2000000000000684,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000048,-0.20000000000264048,-0.20000000493538406,-0.200003116455758,-0.200667797758872,-0.2489435969506917,-1.4460841550571961,-11.600212388246039,-40.92217809023039,-71.00215474141312,-91.70068848662768,-104.71792665382425,objects
41,-103.19633403807885,-89.6049586090534,-73.43905992282278,-49.843850712083054,-19.34715281590802,-3.382276277101409,-0.39779359092677147,-0.20433320712479672,-0.20003266631218988,-0.20000008381377035,-0.2000000000727488,-0.2000000000000213,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000295,-0.20000000001314439,-0.20000001978755289,-0.20001006955095302,-0.20174061836146484,-0.30309770127325275,-2.3290066336511774,-16.13250156687469,-47.88287328317832,-74.6338961948098,-94.18431820800937,objects
42,-95.99980493794128,-101.04528913202597,-85.68459227234779,-70.32722870029312,-45.912016525611364,-16.34580822472134,-2.5865810255299286,-0.3302242206499246,-0.20249130304469742,-0.20001636258425157,-0.2000000365358624,-0.2000000000275828,-0.20000000000000703,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000001633,-0.20000000005915758,-0.20000007226640706,-0.20002986059707561,-0.20419553284561592,-0.402381462732029,-3.6173662814210297,-21.317583886585407,-53.90970855868588,-77.19791750454893,objects
43,-79.42427020325599,-97.68562619589501,-98.31395620274542,-81.79121521962509,-67.05414569387679,-41.4544160234933,-13.243148861574207,-1.873099327393221,-0.2781952898694183,-0.2012745824297341,-0.20000711590280618,-0.20000001349062885,-0.20000000000864232,-0.20000000000000187,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000010404,-0.20000000029862466,-0.20000028914327522,-0.2000947695692334,-0.21057615686208223,-0.6062552170019997,-5.693261575540778,-27.76500254968573,-59.488684002275555,objects
44,-90.42163027729576,-100.64700727856832,-86.62310121297116,-72.03198564835024,-52.97335388018729,-22.753330266682866,-4.3666531142265095,-0.4882209968964613,-0.20703001966184545,-0.20005900456288953,-0.2000001685740572,-0.2000000001629921,-0.20000000000005316,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000678,-0.20000000002743326,-0.20000003741100303,-0.20001724569455473,-0.20270031378311443,-0.3448619467440776,-2.9088439992857493,-18.55390529127307,-50.069140255472774,-72.49139546539772,objects
45,-73.80431091171324,-91.87890516689743,-99.18984990206948,-83.15592830399521,-69.58634926027399,-49.89510239215197,-19.866652527197274,-3.461992162965743,-0.39990619638000613,-0.20429723059655774,-0.20003171510574763,-0.2000000795845983,-0.20000000006754654,-0.20000000000001933,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000003396,-0.20000000011248342,-0.20000012568287712,-0.20004749758751622,-0.20610304849265368,-0.469184028464315,-4.355260462884066,-23.673982689913203,-54.935333334087986,objects
46,-58.532491564699605,-74.3885429816437,-92.85743243850213,-97.76926433136747,-80.27009651010172,-67.51307886068179,-47.116402535556894,-17.398821121555105,-2.7684137900890113,-0.3400686706927969,-0.20266736921152753,-0.20001740565465956,-0.20000003857814425,-0.2000000000289041,-0.2000000000000073,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000004,-0.20000000000015075,-0.20000000041314991,-0.2000003819281168,-0.20011948739599128,-0.21272335184318286,-0.6660494228309815,-6.203309384116431,-28.843732790483056,objects
47,-33.73056051245685,-60.9808373346336,-74.4515310255349,-93.33343775975584,-96.61245570486696,-78.05302489877397,-65.79365772209198,-44.56436487894654,-15.255610859498352,-2.2275446377491175,-0.29866734015675256,-0.20167000412695177,-0.20000966900452344,-0.20000001899721567,-0.20000000001261042,-0.20000000000000284,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000001,-0.2000000000005935,-0.20000000135938603,-0.20000105057658818,-0.20027494822538405,-0.22451936145265555,-0.9540009783856731,-8.40105757433135,objects
48,-10.849024175798135,-38.09337232250611,-62.57302288276939,-74.23185944525864,-93.21951805459662,-95.75795453448569,-76.61820905768374,-64.41394587972755,-42.12759585609836,-13.3427796897391,-1.7958559664371245,-0.269341684041146,-0.20104410308947424,-0.20000536957232687,-0.20000000936306872,-0.20000000000551316,-0.2000000000000011,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000037,-0.20000000000207768,-0.200000004019707,-0.20000262522281612,-0.20058098361146834,-0.24386627428064517,-1.345243844671789,objects
49,-1.8427981619752452,-13.422434990575752,-41.808707722305,-63.66078063516045,-74.00942395153108,-92.42606368983873,-95.00617842474196,-76.06917975544282,-63.375760797081135,-39.70025062371374,-11.593030381801679,-1.4452754023849135,-0.2482601618625536,-0.2006458170349711,-0.20000294735991117,-0.20000000455728753,-0.20000000000237833,-0.20000000000000043,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000134,-0.20000000000650522,-0.2000000107459463,-0.20000599483177547,-0.20113407769342007,-0.27329049867972016,objects
50,-0.3152272070273167,-2.4414562397537676,-16.00386635588407,-44.87088977450633,-64.56217762324953,-74.10047803788255,-91.0886112673934,-93.95730894432413,-76.3592951124306,-62.67756310126269,-37.16674069050421,-9.948561124279037,-1.1556564991710425,-0.23293071081595565,-0.20039041636722504,-0.20000157612247263,-0.2000000021541457,-0.20000000000099324,-0.20000000000000018,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000437,-0.20000000001838744,-0.2000000262020379,-0.20001261576963422,-0.20206139372793408,objects
51,-0.20352607095339278,-0.37209959661326364,-3.133660542041034,-18.516408390093577,-47.37122798736981,-65.49984108920087,-74.71904742021523,-89.62687909055353,-92.31607237331741,-77.16085672969587,-62.23288760252102,-34.4213222043848,-8.373130663456498,-0.9142506527441712,-0.22176976854227268,-0.20022745933080183,-0.20000080790822092,-0.2000000009707125,-0.2000000000003933,-0.20000000000000007,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000001295,-0.2000000000475686,-0.20000005901560358,-0.20002475190508173,objects
52,-0.20004572303588505,-0.20572653287343148,-0.4461432828419144,-3.9094550091374707,-20.911275638081463,-49.42835329956037,-66.59710865914239,-75.88050132298025,-88.44244166844653,-90.20332699238821,-78.03553991492372,-61.80642413750543,-31.414461964997397,-6.872771087972793,-0.7157231968667777,-0.21381096371944067,-0.2001263478803406,-0.20000039223165855,-0.20000000041151625,-0.20000000000014553,-0.20000000000000004,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000353,-0.2000000001139629,-0.2000001241175823,objects
53,-0.20000024704470015,-0.20008047843939242,-0.2089226111781039,-0.5401542513729505,-4.7660647448471885,-23.192583333775804,-51.19908013191223,-67.92854821994064,-77.4946843513571,-87.73913030554698,-88.05978637985336,-78.65976122902087,-60.967256955139604,-28.095357685681638,-5.467039842343212,-0.5564050059943035,-0.20831534531283988,-0.20006607718551228,-0.20000017786451008,-0.20000000016164482,-0.2000000000000495,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000899,-0.2000000002566442,objects
54,-0.2000000005538074,-0.20000047333585147,-0.20013697685677384,-0.2135056874509502,-0.658889969198166,-5.7167986835116595,-25.42135600252146,-52.8661992345851,-69.54228251829703,-79.44111624051776,-87.50227399482445,-86.33269872901496,-78.93724934188415,-59.20493006079143,-24.423360862346637,-4.184467534996168,-0.4332450630726671,-0.20469184903017792,-0.2000320723252786,-0.20000007415325455,-0.2000000000578295,-0.2000000000000152,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000000004,-0.2000000000002185,objects
55,-0.2000000000005186,-0.20000000116933722,-0.20000088908964517,-0.20022898432190228,-0.22011706091370342,-0.8105593237656805,-6.7935229381626305,-27.69363717385469,-54.607706655034086,-71.46443417575905,-81.59649571306794,-87.60491216596029,-85.2574893321655,-78.84236037003056,-56.13264576100643,-20.450081085533444,-3.0633875104426664,-0.34318235209174347,-0.2024544742772896,-0.20001427656756451,-0.20000002805595551,-0.20000000001858279,-0.20000000000000415,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2000000000000001,objects
56,-0.2000000000000002,-0.2000000000012202,-0.20000000244788585,-0.20000165588237462,-0.20037957881324822,-0.22971719258834322,-1.0060145220344656,-8.0298761939241,-30.082479568851912,-56.549092337885824,-73.7035972348112,-83.85746973866526,-87.93462937190066,-84.86966722639724,-78.21820759054252,-51.611973562897276,-16.36660564836025,-2.140448579308091,-0.28187689502968954,-0.2011821538955322,-0.20000578571492508,-0.20000000956028827,-0.20000000000532162,-0.200000000000001,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,objects
57,-0.2,-0.20000000000000057,-0.20000000000289897,-0.20000000516199637,-0.20000309945198488,-0.20063093332974466,-0.2439235949312087,-1.2627538267696865,-9.480995740082566,-32.6850515752467,-58.810475436905136,-76.24774271158701,-86.12864872098909,-88.45258827992788,-85.06300478129177,-76.67650318499557,-45.71791572898566,-12.43747351250199,-1.4316470221517454,-0.24334179079052373,-0.20052106951431367,-0.20000212215135846,-0.20000000291687725,-0.20000000000135018,-0.20000000000000023,-0.2,-0.2,-0.2,-0.2,-0.2,objects
58,-0.2,-0.2,-0.2000000000000015,-0.20000000000705817,-0.20000001110499388,-0.2000058923763611,-0.2010605673488737,-0.26538286308147324,-1.6060735079317843,-11.213745548071081,-35.58982339702714,-61.47503863956295,-79.05595708789971,-88.3365255999242,-89.18424910740876,-85.56265135882612,-73.72452971457982,-38.78163947703747,-8.936424989273604,-0.928754763993447,-0.2211541801993119,-0.2002095072061991,-0.20000070261422262,-0.20000000079510108,-0.200000000000303,-0.20000000000000004,-0.2,-0.2,-0.2,-0.2,objects
59,-0.2,-0.2,-0.2,-0.20000000000000437,-0.20000000001789303,-0.20000002470168,-0.20001150353769054,-0.20181859314094777,-0.298650615319798,-2.074768918346926,-13.318558247386012,-38.89298096031403,-64.59281550868367,-82.04740099674903,-90.4347685610964,-90.1638891189771,-85.86705031407364,-68.96255182677403,-31.353861634460536,-6.063412215122019,-0.6011063871866557,-0.20950997600979546,-0.20007684643550422,-0.20000021022670034,-0.20000000019405695,-0.20000000000006032,-0.2,-0.2,-0.2,-0.2,objects
60,-0.2,-0.2,-0.2,-0.2,-0.20000000000001333,-0.2000000000475944,-0.20000005716465244,-0.20002317169826855,-0.20319165556245095,-0.35117378702879776,-2.721322052894866,-15.88597893321708,-42.65589469883933,-68.149156778255,-85.1219198330513,-92.4484373478644,-91.35811756456638,-85.29651272637633,-62.30797274016629,-24.081024965095494,-3.893273725402905,-0.40526669277750244,-0.20394083093948986,-0.20002576600398195,-0.2000000570287838,-0.20000000004259308,-0.20000000000001072,-0.2,-0.2,-0.2,objects
61,-0.2,-0.2,-0.2,-0.2,-0.2,-0.20000000000004334,-0.20000000013334102,-0.20000013801291,-0.2000482417681397,-0.20573731794269828,-0.4352542408594219,-3.61742899864743,-19.01029783672768,-46.917584924614246,-72.07172872899987,-88.18857180923474,-94.46424481406063,-92.52987507434857,-83.14610380540563,-54.07943808835621,-17.536259723009632,-2.38143252252597,-0.2977080655743283,-0.2015078198860783,-0.2000079203135996,-0.20000001408386045,-0.20000000000845114,-0.20000000000000173,-0.2,-0.2,objects
